id,created_at,direction,vehicle_count,density_level,smoothed_count,congestion_score,recommended_green
400,2026-06-24 10:51:37,west,3,LOW,4.6,13.12,15
399,2026-06-24 10:51:35,east,4,LOW,4.2,11.9,15
398,2026-06-24 10:51:32,south,13,MEDIUM,11.2,32.92,25
397,2026-06-24 10:51:30,north,8,LOW,9.0,25.92,15
396,2026-06-24 10:51:26,west,4,LOW,3.8,11.08,15
395,2026-06-24 10:51:23,east,2,LOW,4.4,12.47,15
394,2026-06-24 10:51:19,south,8,LOW,9.0,25.5,15
393,2026-06-24 10:51:16,north,8,LOW,8.6,24.37,15
392,2026-06-24 10:51:08,west,3,LOW,4.0,11.33,15
391,2026-06-24 10:51:05,east,6,LOW,4.8,14.67,15
390,2026-06-24 10:51:03,south,8,LOW,7.0,21.0,15
389,2026-06-24 10:50:58,north,9,MEDIUM,10.6,30.03,25
388,2026-06-24 10:50:52,west,4,LOW,3.6,10.33,15
387,2026-06-24 10:50:47,east,7,LOW,4.2,14.25,15
386,2026-06-24 10:50:44,south,6,LOW,5.4,16.67,15
385,2026-06-24 10:50:41,north,8,LOW,7.6,21.75,15
384,2026-06-24 10:50:37,west,4,LOW,4.0,11.33,15
383,2026-06-24 10:50:34,east,2,LOW,2.6,7.45,15
382,2026-06-24 10:50:29,south,3,LOW,3.2,9.07,15
381,2026-06-24 10:50:28,north,5,LOW,6.2,17.57,15
380,2026-06-24 10:50:25,west,5,LOW,6.8,19.27,15
379,2026-06-24 10:50:22,east,4,LOW,4.4,12.8,15
378,2026-06-24 10:50:18,south,3,LOW,5.6,15.87,15
377,2026-06-24 10:50:16,north,8,LOW,5.4,17.33,15
376,2026-06-24 10:50:14,west,8,LOW,8.0,22.67,15
375,2026-06-24 10:50:12,east,6,LOW,4.6,13.58,15
374,2026-06-24 10:50:08,south,4,LOW,5.6,15.95,15
373,2026-06-24 10:50:06,north,7,LOW,4.8,15.42,15
372,2026-06-24 10:50:03,west,8,LOW,7.0,21.42,15
371,2026-06-24 10:50:00,east,7,LOW,7.0,19.83,15
370,2026-06-24 10:49:55,south,3,LOW,5.2,14.9,15
369,2026-06-24 10:49:53,north,4,LOW,6.4,18.13,15
368,2026-06-24 10:49:50,west,5,LOW,5.6,15.95,15
367,2026-06-24 10:49:48,east,6,LOW,6.6,18.78,15
366,2026-06-24 10:49:44,south,5,LOW,5.0,14.17,15
365,2026-06-24 10:49:39,north,4,LOW,4.2,11.9,15
364,2026-06-24 10:49:37,west,5,LOW,4.8,13.67,15
363,2026-06-24 10:49:36,east,7,LOW,6.2,18.83,15
362,2026-06-24 10:49:34,south,6,LOW,4.6,14.42,15
361,2026-06-24 10:49:33,north,7,LOW,7.4,20.97,15
360,2026-06-24 10:49:32,west,7,LOW,5.2,15.92,15
359,2026-06-24 10:49:30,east,5,LOW,6.2,17.73,15
358,2026-06-24 10:49:28,south,4,LOW,6.0,17.0,15
357,2026-06-24 10:49:27,north,11,LOW,9.2,26.83,15
356,2026-06-24 10:49:26,west,6,LOW,5.4,16.25,15
355,2026-06-24 10:49:24,east,7,LOW,6.2,18.0,15
354,2026-06-24 10:49:22,south,7,LOW,7.8,22.77,15
353,2026-06-24 10:49:19,north,7,LOW,7.6,21.53,15
352,2026-06-24 10:49:18,west,4,LOW,4.2,12.48,15
351,2026-06-24 10:49:17,east,8,LOW,5.8,17.17,15
350,2026-06-24 10:49:15,south,5,LOW,5.0,14.17,15
349,2026-06-24 10:49:14,north,9,LOW,7.4,22.67,15
348,2026-06-24 10:49:13,west,3,LOW,3.2,9.07,15
347,2026-06-24 10:49:10,east,6,LOW,5.8,16.5,15
346,2026-06-24 10:49:09,south,4,LOW,4.8,13.85,15
345,2026-06-24 10:49:07,north,6,LOW,5.6,16.08,15
344,2026-06-24 10:49:06,west,3,LOW,4.2,11.9,15
343,2026-06-24 10:49:05,east,6,LOW,4.6,14.83,15
342,2026-06-24 10:49:03,south,5,LOW,4.6,13.25,15
341,2026-06-24 10:49:02,north,8,LOW,6.8,20.75,15
340,2026-06-24 10:49:00,west,6,LOW,5.8,16.75,15
339,2026-06-24 10:48:59,east,3,LOW,2.8,8.67,15
338,2026-06-24 10:48:58,south,6,LOW,5.2,15.17,15
337,2026-06-24 10:48:57,north,6,LOW,4.2,12.67,15
336,2026-06-24 10:48:55,west,4,LOW,5.4,15.3,15
335,2026-06-24 10:48:52,east,3,LOW,3.6,10.7,15
334,2026-06-24 10:48:48,south,5,LOW,6.6,18.7,15
333,2026-06-24 10:48:44,north,3,LOW,3.8,10.77,15
332,2026-06-24 10:48:41,west,3,LOW,3.6,10.2,15
331,2026-06-24 10:48:38,east,3,LOW,3.2,9.23,15
330,2026-06-24 10:48:33,south,8,LOW,6.2,19.17,15
329,2026-06-24 10:48:31,north,5,LOW,5.2,14.73,15
328,2026-06-24 10:48:28,west,3,LOW,3.2,9.23,15
327,2026-06-24 10:48:22,east,3,LOW,5.0,14.17,15
326,2026-06-24 10:48:19,south,5,LOW,6.6,18.7,15
325,2026-06-24 10:48:17,north,3,LOW,4.8,13.6,15
324,2026-06-24 10:48:14,west,2,LOW,2.2,6.23,15
323,2026-06-24 10:48:11,east,5,LOW,5.4,15.63,15
322,2026-06-24 10:48:08,south,9,LOW,8.8,25.25,15
321,2026-06-24 10:48:06,north,6,LOW,6.2,17.57,15
320,2026-06-24 10:48:04,west,2,LOW,1.6,5.58,15
319,2026-06-24 10:48:00,east,5,LOW,5.0,14.58,15
318,2026-06-24 10:47:55,south,7,LOW,7.2,20.4,15
317,2026-06-24 10:47:53,north,6,LOW,5.2,15.17,15
316,2026-06-24 10:47:50,west,2,LOW,1.6,4.75,15
315,2026-06-24 10:47:48,east,6,LOW,4.6,13.58,15
314,2026-06-24 10:47:45,south,10,LOW,8.6,25.33,15
313,2026-06-24 10:47:43,north,6,LOW,6.2,18.15,15
312,2026-06-24 10:47:40,west,2,LOW,1.8,5.17,15
311,2026-06-24 10:47:38,east,1,LOW,3.6,10.2,15
310,2026-06-24 10:47:35,south,6,LOW,8.6,24.37,15
309,2026-06-24 10:47:31,north,6,LOW,5.0,14.92,15
308,2026-06-24 10:47:26,west,1,LOW,1.0,2.83,15
307,2026-06-24 10:47:23,east,5,LOW,6.2,17.57,15
306,2026-06-24 10:47:18,south,8,LOW,8.0,23.5,15
305,2026-06-24 10:47:13,north,9,LOW,7.0,21.33,15
304,2026-06-24 10:47:09,west,2,LOW,2.8,7.93,15
303,2026-06-24 10:47:06,east,5,LOW,5.6,15.95,15
302,2026-06-24 10:46:57,south,5,LOW,7.0,20.25,15
301,2026-06-24 10:46:55,north,3,LOW,4.4,12.47,15
300,2026-06-24 10:46:54,west,2,LOW,1.0,4.0,15
299,2026-06-24 10:46:52,east,3,LOW,4.6,13.03,15
298,2026-06-24 10:46:50,south,9,LOW,8.6,24.58,15
297,2026-06-24 10:46:48,north,4,LOW,6.2,17.57,15
296,2026-06-24 10:46:47,west,0,LOW,1.8,5.1,15
295,2026-06-24 10:46:46,east,6,LOW,6.6,18.7,15
294,2026-06-24 10:46:44,south,9,LOW,6.2,19.5,15
293,2026-06-24 10:46:43,north,5,LOW,5.4,15.3,15
292,2026-06-24 10:46:42,west,4,LOW,4.2,11.9,15
291,2026-06-24 10:46:41,east,7,LOW,5.0,15.67,15
290,2026-06-24 10:46:39,south,9,LOW,8.2,24.08,15
289,2026-06-24 10:46:38,north,3,LOW,5.6,15.87,15
288,2026-06-24 10:46:34,west,3,LOW,4.0,11.33,15
287,2026-06-24 10:46:28,east,6,LOW,6.4,18.47,15
286,2026-06-24 10:46:26,south,8,LOW,7.4,21.17,15
285,2026-06-24 10:46:25,north,6,LOW,7.4,21.72,15
284,2026-06-24 10:46:23,west,5,LOW,6.0,17.0,15
283,2026-06-24 10:46:22,east,7,LOW,7.0,20.25,15
282,2026-06-24 10:46:18,south,7,LOW,5.6,17.67,15
281,2026-06-24 10:46:17,north,5,LOW,5.4,15.63,15
280,2026-06-24 10:46:16,west,3,LOW,3.2,9.07,15
279,2026-06-24 10:46:15,east,7,LOW,6.6,18.92,15
278,2026-06-24 10:46:13,south,6,LOW,5.8,16.5,15
277,2026-06-24 10:46:12,north,7,LOW,5.0,16.08,15
276,2026-06-24 10:46:09,west,1,LOW,1.4,3.97,15
275,2026-06-24 10:46:08,east,5,LOW,3.8,11.17,15
274,2026-06-24 10:46:06,south,5,LOW,5.6,15.87,15
273,2026-06-24 10:46:05,north,6,LOW,4.6,14.42,15
272,2026-06-24 10:46:03,west,2,LOW,1.2,4.25,15
271,2026-06-24 10:46:02,east,3,LOW,3.8,10.77,15
270,2026-06-24 10:46:00,south,7,LOW,7.6,21.53,15
269,2026-06-24 10:45:59,north,6,LOW,7.2,20.57,15
268,2026-06-24 10:45:57,west,1,LOW,1.0,2.83,15
267,2026-06-24 10:45:56,east,2,LOW,3.0,8.5,15
266,2026-06-24 10:45:54,south,7,LOW,6.6,18.83,15
265,2026-06-24 10:45:53,north,6,LOW,4.6,14.0,15
264,2026-06-24 10:45:51,west,4,LOW,2.6,8.33,15
263,2026-06-24 10:45:50,east,4,LOW,3.6,11.67,15
262,2026-06-24 10:45:48,south,6,LOW,7.6,21.62,15
261,2026-06-24 10:45:47,north,3,LOW,3.0,8.5,15
260,2026-06-24 10:45:45,west,3,LOW,3.6,10.2,15
259,2026-06-24 10:45:44,east,6,LOW,5.0,15.75,15
258,2026-06-24 10:45:42,south,7,LOW,8.8,24.93,15
257,2026-06-24 10:45:41,north,6,LOW,4.0,12.42,15
256,2026-06-24 10:45:39,west,5,LOW,4.6,13.17,15
255,2026-06-24 10:45:37,east,4,LOW,3.2,9.5,15
254,2026-06-24 10:45:36,south,8,LOW,9.4,26.63,15
253,2026-06-24 10:45:34,north,5,LOW,4.4,12.67,15
252,2026-06-24 10:45:33,west,3,LOW,3.8,10.77,15
251,2026-06-24 10:45:32,east,2,LOW,3.0,8.5,15
250,2026-06-24 10:45:30,south,10,LOW,8.2,24.0,15
249,2026-06-24 10:45:29,north,6,LOW,8.8,24.93,15
248,2026-06-24 10:45:27,west,2,LOW,1.8,5.17,15
247,2026-06-24 10:45:26,east,7,LOW,5.8,17.92,15
246,2026-06-24 10:45:25,south,10,LOW,8.6,25.75,15
245,2026-06-24 10:45:23,north,11,LOW,7.8,24.67,15
244,2026-06-24 10:45:22,west,2,LOW,2.8,7.93,15
243,2026-06-24 10:45:21,east,7,LOW,4.4,14.5,15
242,2026-06-24 10:45:19,south,8,LOW,9.0,25.5,15
241,2026-06-24 10:45:18,north,10,LOW,5.8,20.17,15
240,2026-06-24 10:45:16,west,2,LOW,2.0,5.67,15
239,2026-06-24 10:45:13,east,3,LOW,5.0,14.17,15
238,2026-06-24 10:45:11,south,8,LOW,7.6,21.67,15
237,2026-06-24 10:45:10,north,5,LOW,4.8,13.92,15
236,2026-06-24 10:45:09,west,1,LOW,2.4,6.8,15
235,2026-06-24 10:45:08,east,5,LOW,4.8,14.33,15
234,2026-06-24 10:45:06,south,9,LOW,8.6,24.5,15
233,2026-06-24 10:45:05,north,4,LOW,5.6,15.87,15
232,2026-06-24 10:45:04,west,2,LOW,2.2,6.82,15
231,2026-06-24 10:45:02,east,6,LOW,5.6,16.08,15
230,2026-06-24 10:45:00,south,11,LOW,10.2,30.17,15
229,2026-06-24 10:44:59,north,7,LOW,6.6,18.83,15
228,2026-06-24 10:44:58,west,3,LOW,1.8,5.5,15
227,2026-06-24 10:44:57,east,4,LOW,3.8,11.08,15
226,2026-06-24 10:44:54,south,11,LOW,10.2,29.33,15
225,2026-06-24 10:44:52,north,7,LOW,6.8,19.58,15
224,2026-06-24 10:44:50,west,2,LOW,2.6,7.37,15
223,2026-06-24 10:44:46,east,4,LOW,2.4,7.33,15
222,2026-06-24 10:44:43,south,9,LOW,7.2,22.83,15
221,2026-06-24 10:44:42,north,7,LOW,6.2,17.83,15
220,2026-06-24 10:44:41,west,2,LOW,3.0,8.5,15
219,2026-06-24 10:44:37,east,3,LOW,2.4,7.33,15
218,2026-06-24 10:44:32,south,5,LOW,4.8,13.67,15
217,2026-06-24 10:44:26,north,8,LOW,7.6,21.67,15
216,2026-06-24 10:44:24,west,3,LOW,2.8,8.0,15
215,2026-06-24 10:44:21,east,3,LOW,3.2,9.23,15
214,2026-06-24 10:44:18,south,4,LOW,5.6,15.87,15
213,2026-06-24 10:44:16,north,8,LOW,8.0,22.67,15
212,2026-06-24 10:44:13,west,3,LOW,4.4,12.47,15
211,2026-06-24 10:44:10,east,2,LOW,3.0,8.5,15
