id,created_at,sim_step,sim_time,direction,waiting_time,queue_length,mean_speed,vehicle_count,throughput,congestion_score,tl_state
39976,2026-06-17 06:21:08,99990,99990.0,west,57.326,8,9.643,12,7288,47.42,Wrrr
39975,2026-06-17 06:21:08,99990,99990.0,east,17.367,18,1.284,25,10420,63.45,Wrrr
39974,2026-06-17 06:21:08,99990,99990.0,south,70.505,20,1.217,15,7810,88.61,Wrrr
39973,2026-06-17 06:21:08,99990,99990.0,north,89.303,20,0.022,8,6760,100.0,Wrrr
39972,2026-06-17 06:21:08,99980,99980.0,west,90.918,20,1.362,12,7280,100.0,Errr
39971,2026-06-17 06:21:08,99980,99980.0,east,8.54,10,0.945,25,10420,31.15,Errr
39970,2026-06-17 06:21:08,99980,99980.0,south,62.554,20,0.857,15,7810,87.85,Errr
39969,2026-06-17 06:21:08,99980,99980.0,north,89.536,20,1.356,8,6760,97.71,Errr
39968,2026-06-17 06:21:08,99970,99970.0,west,90.701,20,0.152,12,7280,100.0,Errr
39967,2026-06-17 06:21:08,99970,99970.0,east,1.197,1,0.454,25,10420,4.49,Errr
39966,2026-06-17 06:21:08,99970,99970.0,south,55.455,20,0.665,15,7810,82.27,Errr
39965,2026-06-17 06:21:08,99970,99970.0,north,90.288,20,0.987,8,6760,100.0,Errr
39964,2026-06-17 06:21:08,99960,99960.0,west,90.535,20,0.471,12,7280,100.0,Errr
39963,2026-06-17 06:21:08,99960,99960.0,east,0.0,0,10.554,25,10420,0.0,Errr
39962,2026-06-17 06:21:08,99960,99960.0,south,47.818,20,1.469,15,7810,81.06,Errr
39961,2026-06-17 06:21:08,99960,99960.0,north,89.708,20,0.82,8,6760,100.0,Errr
39960,2026-06-17 06:21:08,99950,99950.0,west,89.373,20,0.55,12,7280,100.0,Errr
39959,2026-06-17 06:21:08,99950,99950.0,east,0.0,0,8.283,25,10420,2.32,Errr
39958,2026-06-17 06:21:08,99950,99950.0,south,39.819,20,0.073,15,7810,74.99,Errr
39957,2026-06-17 06:21:08,99950,99950.0,north,89.193,20,0.344,8,6760,98.4,Errr
39956,2026-06-17 06:21:08,99940,99940.0,west,89.774,20,1.485,12,7280,99.37,Errr
39955,2026-06-17 06:21:08,99940,99940.0,east,0.182,0,11.719,25,10420,1.26,Errr
39954,2026-06-17 06:21:08,99940,99940.0,south,30.647,20,0.84,15,7810,72.35,Errr
39953,2026-06-17 06:21:08,99940,99940.0,north,89.203,20,0.946,8,6760,96.77,Errr
39952,2026-06-17 06:21:08,99930,99930.0,west,83.207,20,0.801,12,7280,98.85,Errr
39951,2026-06-17 06:21:08,99930,99930.0,east,26.579,4,11.47,25,10416,24.46,Errr
39950,2026-06-17 06:21:08,99930,99930.0,south,22.472,15,1.049,15,7810,53.23,Errr
39949,2026-06-17 06:21:08,99930,99930.0,north,89.777,20,0.899,8,6760,100.0,Errr
39948,2026-06-17 06:21:08,99920,99920.0,west,74.679,20,0.435,12,7280,95.23,Errr
39947,2026-06-17 06:21:08,99920,99920.0,east,65.948,14,12.536,25,10406,71.45,Errr
39946,2026-06-17 06:21:08,99920,99920.0,south,14.252,10,1.495,15,7810,35.36,Errr
39945,2026-06-17 06:21:08,99920,99920.0,north,82.141,18,0.233,8,6760,92.78,Errr
39944,2026-06-17 06:21:08,99910,99910.0,west,67.345,20,0.047,12,7280,87.39,Srrr
39943,2026-06-17 06:21:08,99910,99910.0,east,90.017,20,0.521,25,10400,98.6,Srrr
39942,2026-06-17 06:21:08,99910,99910.0,south,6.286,5,0.216,15,7810,19.17,Srrr
39941,2026-06-17 06:21:08,99910,99910.0,north,73.104,15,1.01,8,6760,75.18,Srrr
39940,2026-06-17 06:21:08,99900,99900.0,west,59.586,20,0.118,12,7280,88.67,Srrr
39939,2026-06-17 06:21:08,99900,99900.0,east,89.7,20,0.34,25,10400,100.0,Srrr
39938,2026-06-17 06:21:08,99900,99900.0,south,0.92,0,11.047,15,7810,1.99,Srrr
39937,2026-06-17 06:21:08,99900,99900.0,north,65.469,12,0.513,8,6760,67.88,Srrr
39936,2026-06-17 06:21:08,99890,99890.0,west,51.783,20,1.477,12,7280,81.48,Srrr
39935,2026-06-17 06:21:08,99890,99890.0,east,90.787,20,0.822,25,10400,98.53,Srrr
39934,2026-06-17 06:21:08,99890,99890.0,south,0.082,0,12.932,15,7810,0.0,Srrr
39933,2026-06-17 06:21:08,99890,99890.0,north,57.932,10,0.098,8,6760,58.23,Srrr
39932,2026-06-17 06:21:08,99880,99880.0,west,42.603,20,0.906,12,7280,77.25,Srrr
39931,2026-06-17 06:21:08,99880,99880.0,east,83.14,20,0.573,25,10400,97.92,Srrr
39930,2026-06-17 06:21:08,99880,99880.0,south,33.931,1,9.354,15,7809,15.39,Srrr
39929,2026-06-17 06:21:08,99880,99880.0,north,50.933,7,0.238,8,6760,42.94,Srrr
39928,2026-06-17 06:21:08,99870,99870.0,west,34.665,18,1.381,12,7280,71.92,Srrr
