id,created_at,direction,frame_number,timestamp_sec,current_count,total_counted,count_car,count_motorcycle,count_bus,count_truck
400,2026-06-24 10:51:37,west,1500,50.05,3,0,15,0,0,4
399,2026-06-24 10:51:35,east,1497,49.9,4,6,10,0,1,0
398,2026-06-24 10:51:32,south,1494,21.0993,13,6,14,0,4,3
397,2026-06-24 10:51:30,north,1491,49.7,8,1,30,0,5,0
396,2026-06-24 10:51:26,west,1485,49.5495,4,0,15,0,0,0
395,2026-06-24 10:51:23,east,1482,49.4,2,6,10,0,1,0
394,2026-06-24 10:51:19,south,1479,20.5993,8,6,12,0,3,2
393,2026-06-24 10:51:16,north,1476,49.2,8,1,25,0,5,2
392,2026-06-24 10:51:08,west,1470,49.049,3,0,14,0,0,1
391,2026-06-24 10:51:05,east,1467,48.9,6,6,14,0,1,0
390,2026-06-24 10:51:03,south,1464,20.0993,8,6,11,0,4,0
389,2026-06-24 10:50:58,north,1461,48.7,9,1,34,0,5,1
388,2026-06-24 10:50:52,west,1455,48.5485,4,0,10,0,0,3
387,2026-06-24 10:50:47,east,1452,48.4,7,6,14,0,3,0
386,2026-06-24 10:50:44,south,1449,19.5993,6,6,10,0,3,0
385,2026-06-24 10:50:41,north,1446,48.2,8,1,30,0,1,0
384,2026-06-24 10:50:37,west,1440,48.048,4,0,13,0,0,2
383,2026-06-24 10:50:34,east,1437,47.9,2,6,4,0,3,0
382,2026-06-24 10:50:29,south,1434,19.0993,3,5,4,0,3,0
381,2026-06-24 10:50:28,north,1431,47.7,5,1,23,0,1,0
380,2026-06-24 10:50:25,west,1425,47.5475,5,0,25,0,0,0
379,2026-06-24 10:50:22,east,1422,47.4,4,6,9,0,2,0
378,2026-06-24 10:50:18,south,1419,18.5994,3,5,12,0,2,0
377,2026-06-24 10:50:16,north,1416,47.2,8,1,20,0,0,1
376,2026-06-24 10:50:14,west,1410,47.047,8,0,32,0,0,0
375,2026-06-24 10:50:12,east,1407,46.9,6,6,7,0,3,0
374,2026-06-24 10:50:08,south,1404,18.0994,4,5,10,0,3,0
373,2026-06-24 10:50:06,north,1401,46.7,7,1,21,0,0,0
372,2026-06-24 10:50:03,west,1395,46.5465,8,0,29,0,1,0
371,2026-06-24 10:50:00,east,1392,46.4,7,6,9,0,5,0
370,2026-06-24 10:49:55,south,1389,17.5994,3,5,7,0,4,0
369,2026-06-24 10:49:53,north,1386,46.2,4,1,15,0,2,5
368,2026-06-24 10:49:50,west,1380,46.046,5,0,22,0,0,0
367,2026-06-24 10:49:48,east,1377,45.9,6,5,10,0,7,0
366,2026-06-24 10:49:44,south,1374,17.0994,5,5,8,0,3,0
365,2026-06-24 10:49:39,north,1371,45.7,4,1,15,0,0,0
364,2026-06-24 10:49:37,west,1365,45.5455,5,0,19,0,0,0
363,2026-06-24 10:49:36,east,1362,45.4,7,4,9,0,7,0
362,2026-06-24 10:49:34,south,1359,16.5994,6,5,5,0,6,0
361,2026-06-24 10:49:33,north,1356,45.2,7,1,24,0,1,4
360,2026-06-24 10:49:32,west,1350,45.045,7,0,21,0,0,2
359,2026-06-24 10:49:30,east,1347,44.9,5,4,12,0,4,0
358,2026-06-24 10:49:28,south,1344,16.0994,4,5,12,0,4,0
357,2026-06-24 10:49:27,north,1341,44.7,11,1,28,0,0,10
356,2026-06-24 10:49:26,west,1335,44.5445,6,0,20,0,0,2
355,2026-06-24 10:49:24,east,1332,44.4,7,4,13,0,2,0
354,2026-06-24 10:49:22,south,1329,15.5995,7,5,17,0,4,0
